LapNumber,Stint,CompoundCode,LapDelta,AvgLapInStint,TireDegradation,will_pit_next_lap
3.0,2.0,2,-54.42099999999999,115.0445,-54.42099999999999,0
4.0,2.0,2,-4.548000000000002,104.45833333333333,-58.968999999999994,0
5.0,2.0,2,0.08299999999999841,84.82966666666667,-58.885999999999996,0
6.0,2.0,2,0.046999999999997044,83.357,-58.839,0
7.0,2.0,2,-1.5030000000000001,82.89933333333333,-60.342,0
8.0,2.0,2,-0.37699999999999534,82.28833333333334,-60.718999999999994,0
9.0,2.0,2,0.4680000000000035,81.81766666666667,-60.25099999999999,0
10.0,2.0,2,-0.4420000000000073,81.70066666666668,-60.693,0
11.0,2.0,2,-0.04800000000000182,81.69333333333334,-60.741,0
13.0,2.0,2,-0.09399999999999409,81.49866666666667,-60.834999999999994,0
14.0,2.0,2,-0.8290000000000077,81.175,-61.664,0
15.0,2.0,2,0.0,80.86733333333332,-61.664,0
16.0,2.0,2,0.2020000000000124,80.65833333333332,-61.46199999999999,0
17.0,2.0,2,0.3439999999999941,80.84033333333333,-61.117999999999995,0
19.0,2.0,2,-0.8919999999999959,80.72500000000001,-62.00999999999999,0
20.0,2.0,2,0.11499999999999488,80.58066666666666,-61.894999999999996,0
22.0,2.0,2,0.18200000000000216,80.38233333333334,-61.712999999999994,0
23.0,2.0,2,-0.3990000000000009,80.34833333333333,-62.111999999999995,0
24.0,2.0,2,0.3739999999999952,80.40066666666667,-61.738,0
25.0,2.0,2,-0.19400000000000261,80.32766666666667,-61.932,0
26.0,2.0,2,0.14000000000000057,80.43433333333333,-61.792,0
27.0,2.0,2,0.04600000000000648,80.43166666666666,-61.745999999999995,0
28.0,2.0,2,-0.9989999999999952,80.16066666666666,-62.74499999999999,0
29.0,2.0,2,0.7609999999999957,80.09666666666668,-61.983999999999995,0
31.0,2.0,2,0.6700000000000017,80.24066666666667,-61.31399999999999,0
32.0,2.0,2,-0.7930000000000064,80.45333333333333,-62.107,0
33.0,2.0,2,-0.6569999999999965,80.19333333333333,-62.763999999999996,0
34.0,2.0,2,-0.3569999999999993,79.591,-63.120999999999995,0
36.0,2.0,2,2.4939999999999998,80.08433333333333,-60.626999999999995,0
37.0,2.0,2,-0.8529999999999944,80.51233333333334,-61.47999999999999,0
38.0,2.0,2,-0.46100000000001273,80.90566666666666,-61.941,0
39.0,2.0,2,0.07500000000000284,80.49266666666666,-61.866,0
40.0,2.0,2,-0.5769999999999982,80.17166666666667,-62.443,0
41.0,2.0,2,-0.4830000000000041,79.84333333333333,-62.926,0
42.0,2.0,2,0.7550000000000097,79.74166666666666,-62.17099999999999,0
43.0,2.0,2,-0.5880000000000081,79.63633333333333,-62.759,0
44.0,2.0,2,0.18700000000001182,79.75433333333334,-62.57199999999999,0
45.0,2.0,2,2.0649999999999977,80.30900000000001,-60.50699999999999,0
47.0,2.0,2,-1.2860000000000014,80.63100000000001,-61.79299999999999,0
48.0,2.0,2,-1.1410000000000053,80.51033333333334,-62.934,0
49.0,2.0,2,0.05700000000000216,79.72033333333333,-62.876999999999995,0
50.0,2.0,2,-0.10999999999999943,79.32233333333333,-62.986999999999995,0
51.0,2.0,2,-0.40500000000000114,79.16966666666667,-63.391999999999996,0
52.0,2.0,2,2.6910000000000025,79.895,-60.70099999999999,0
53.0,2.0,2,-0.8539999999999992,80.37233333333333,-61.55499999999999,0
54.0,2.0,2,2.9470000000000027,81.967,-58.60799999999999,0
55.0,2.0,2,-4.562000000000012,81.14399999999999,-63.17,0
56.0,2.0,2,-0.28899999999998727,80.50933333333334,-63.45899999999999,0
57.0,2.0,2,-0.5250000000000057,78.71733333333334,-63.983999999999995,0
58.0,2.0,2,0.41899999999999693,78.58566666666667,-63.565,0
59.0,2.0,2,-0.4890000000000043,78.38733333333333,-64.054,0
60.0,2.0,2,1.3320000000000078,78.80799999999999,-62.721999999999994,0
61.0,2.0,2,0.688999999999993,79.31866666666666,-62.033,0
62.0,2.0,2,-0.715999999999994,79.75366666666666,-62.748999999999995,0
63.0,2.0,2,3.5789999999999935,80.93766666666666,-59.17,0
64.0,2.0,2,-5.173999999999992,80.16733333333333,-64.344,0
66.0,2.0,2,0.09199999999999875,79.66633333333333,-64.252,0
67.0,2.0,2,-0.1290000000000049,77.92933333333333,-64.381,0
68.0,2.0,2,0.5110000000000099,78.08733333333333,-63.86999999999999,0
69.0,2.0,2,1.5360000000000014,78.72666666666667,-62.33399999999999,0
70.0,2.0,2,-0.5510000000000019,79.22533333333334,-62.88499999999999,0
71.0,2.0,2,-0.4130000000000109,79.416,-63.298,0
72.0,2.0,2,-0.7919999999999874,78.83066666666667,-64.08999999999999,0
73.0,2.0,2,0.2669999999999959,78.518,-63.82299999999999,0
74.0,2.0,2,-0.41800000000000637,78.20366666666666,-64.241,0
75.0,2.0,2,-0.16400000000000148,78.09866666666666,-64.405,0
76.0,2.0,2,-0.570999999999998,77.71433333333333,-64.976,0
77.0,2.0,2,-0.2189999999999941,77.39633333333332,-65.195,0
3.0,2.0,1,-35.382999999999996,106.87950000000001,-35.382999999999996,0
4.0,2.0,1,-5.451999999999998,99.165,-40.834999999999994,0
5.0,2.0,1,-0.16100000000000136,85.49966666666667,-40.995999999999995,0
6.0,2.0,1,-0.8640000000000043,83.34066666666668,-41.86,0
7.0,2.0,1,0.15500000000000114,83.05066666666666,-41.705,0
8.0,2.0,1,-0.5819999999999936,82.62033333333333,-42.28699999999999,0
9.0,2.0,1,-0.6340000000000003,82.26666666666667,-42.92099999999999,0
10.0,2.0,1,0.21399999999999864,81.93266666666668,-42.706999999999994,0
11.0,2.0,1,-0.44599999999999795,81.644,-43.15299999999999,0
12.0,2.0,1,-0.05200000000000671,81.54933333333334,-43.205,0
13.0,2.0,1,0.06199999999999761,81.404,-43.143,0
14.0,2.0,1,-0.036000000000001364,81.39533333333333,-43.179,0
15.0,2.0,1,-0.33099999999998886,81.29366666666668,-43.50999999999999,0
16.0,2.0,1,0.2569999999999908,81.257,-43.253,0
17.0,2.0,1,-0.5189999999999912,81.05933333333334,-43.77199999999999,0
18.0,2.0,1,0.27599999999999625,81.06400000000001,-43.495999999999995,0
19.0,2.0,1,-0.46999999999999886,80.82633333333334,-43.965999999999994,0
20.0,2.0,1,0.5049999999999955,80.93,-43.461,0
21.0,2.0,1,-0.7930000000000064,80.67733333333334,-44.254000000000005,0
22.0,2.0,1,0.7200000000000131,80.82133333333333,-43.53399999999999,0
25.0,2.0,1,0.053999999999987836,80.815,-43.480000000000004,0
26.0,2.0,1,-0.23299999999998988,80.99533333333333,-43.712999999999994,0
27.0,2.0,1,0.4449999999999932,81.084,-43.268,0
28.0,2.0,1,0.24099999999999966,81.235,-43.027,0
29.0,2.0,1,-0.33899999999999864,81.35066666666665,-43.366,0
30.0,2.0,1,-0.17099999999999227,81.261,-43.53699999999999,0
31.0,2.0,1,-0.3920000000000101,80.96033333333334,-43.929,0
32.0,2.0,1,0.3680000000000092,80.89533333333333,-43.56099999999999,0
33.0,2.0,1,-0.6600000000000108,80.66733333333333,-44.221000000000004,0
35.0,2.0,1,0.08200000000000784,80.59733333333334,-44.138999999999996,0
36.0,2.0,1,0.695999999999998,80.63666666666666,-43.443,0
37.0,2.0,1,0.38400000000000034,81.024,-43.059,0
38.0,2.0,1,-0.4300000000000068,81.24066666666666,-43.489000000000004,0
39.0,2.0,1,0.18300000000000693,81.28633333333333,-43.306,0
41.0,2.0,1,2.1809999999999974,81.931,-41.125,0
42.0,2.0,1,-0.11400000000000432,82.681,-41.239000000000004,0
43.0,2.0,1,-3.0459999999999923,82.35466666666666,-44.285,0
44.0,2.0,1,-1.4339999999999975,80.82333333333334,-45.718999999999994,0
45.0,2.0,1,1.1039999999999992,79.698,-44.614999999999995,0
46.0,2.0,1,-1.0280000000000058,79.24533333333333,-45.643,0
47.0,2.0,1,0.18099999999999739,79.331,-45.462,0
48.0,2.0,1,1.206000000000003,79.45066666666666,-44.256,0
50.0,2.0,1,-0.9809999999999945,79.586,-45.236999999999995,0
51.0,2.0,1,1.3019999999999925,80.095,-43.935,0
52.0,2.0,1,2.7409999999999997,81.11566666666666,-41.194,0
53.0,2.0,1,-3.384999999999991,81.335,-44.57899999999999,0
54.0,2.0,1,-0.8010000000000019,80.85333333333334,-45.379999999999995,0
55.0,2.0,1,0.21999999999999886,79.53133333333334,-45.16,0
56.0,2.0,1,1.328000000000003,79.78033333333333,-43.831999999999994,0
57.0,2.0,1,-0.13900000000001,80.25,-43.971000000000004,0
58.0,2.0,1,-1.3709999999999951,80.18933333333332,-45.342,0
59.0,2.0,1,-0.010000000000005116,79.68266666666666,-45.352000000000004,0
60.0,2.0,1,-0.05299999999999727,79.20466666666665,-45.405,0
61.0,2.0,1,-0.4140000000000015,79.04566666666666,-45.819,0
62.0,2.0,1,0.06400000000000716,78.91133333333333,-45.754999999999995,0
64.0,2.0,1,-0.0799999999999983,78.76799999999999,-45.834999999999994,0
66.0,2.0,1,-0.09900000000000375,78.72966666666667,-45.934,0
67.0,2.0,1,-0.5109999999999957,78.49966666666667,-46.44499999999999,0
68.0,2.0,1,-0.18700000000001182,78.234,-46.632000000000005,0
72.0,2.0,1,0.14200000000001012,78.04866666666668,-46.489999999999995,0
73.0,2.0,1,0.4230000000000018,78.17466666666667,-46.06699999999999,0
74.0,2.0,1,1.8319999999999936,78.97366666666667,-44.235,0
75.0,2.0,1,-1.6730000000000018,79.16766666666666,-45.908,0
76.0,2.0,1,0.39000000000000057,79.35066666666665,-45.518,0
3.0,2.0,1,-26.61500000000001,103.0505,-26.61500000000001,0
4.0,2.0,1,-6.356999999999999,96.49566666666665,-32.97200000000001,0
5.0,2.0,1,0.25,85.58833333333332,-32.72200000000001,0
6.0,2.0,1,-0.7680000000000007,83.29666666666667,-33.49000000000001,0
7.0,2.0,1,-0.036000000000001364,83.112,-33.52600000000001,0
8.0,2.0,1,-0.5829999999999984,82.64966666666666,-34.10900000000001,0
9.0,2.0,1,-0.5339999999999918,82.26533333333333,-34.643,0
10.0,2.0,1,0.23199999999999932,81.97033333333333,-34.411,0
11.0,2.0,1,-0.4000000000000057,81.73633333333333,-34.81100000000001,0
12.0,2.0,1,-0.2189999999999941,81.60733333333333,-35.03,0
13.0,2.0,1,0.2120000000000033,81.47166666666668,-34.818,0
14.0,2.0,1,-0.3190000000000026,81.363,-35.137,1
16.0,3.0,2,-1.2090000000000032,80.012,0.0,0
17.0,3.0,2,-3.4509999999999934,78.2865,-3.4509999999999934,0
19.0,3.0,2,1.2679999999999865,78.134,-2.183000000000007,0
